qrow_id|descr|qgr_id|qtype|caption|note
0001:01|Выставляет цель по критериям SMART|0001|integer|Уровень соответствия:|Порядок выставления балов:<br/><b>0</b> - НЕ соотвествтует стандартам,<br/><b>1</b> - минимальное соответствие стандартам,<br/><b>2</b> - соответствует стандартам,<br/><b>3</b> - перевосходит стандарты.
0001:02|Знает историю продаж в данной ТТ|0001|integer|Уровень соответствия:|Порядок выставления балов:<br/><b>0</b> - НЕ соотвествтует стандартам,<br/><b>1</b> - минимальное соответствие стандартам,<br/><b>2</b> - соответствует стандартам,<br/><b>3</b> - перевосходит стандарты.
0002:01|Осматривает магазин\кондитерский отдел|0002|boolean||
0003:01|Здоровается при входе в ТТ с представителями ТТ|0003|boolean||
0003:02|Улыбается, доброжелателен, применяет "small talk"|0003|boolean||
0003:03|Обращается к клиенту по имени|0003|boolean||
0003:04|Говорит четким, уверенным голосом|0003|boolean||
0003:05|Озвучивает цель визита в ТТ|0003|boolean||
0004:01|Контролирует долю полочного пространства продукции (не менее 20% от полочного пространства)|0004|boolean||
0004:02|Обеспечивает выкладку продукции в соответствии с рекомендациями|0004|boolean||
0004:03|Фиксирует информацию о представленности продукции в карточке клиента|0004|boolean||
0004:04|Рассчитывает оптимальный размер заказа для ТТ|0004|boolean||
0005:01|Задает клиенту открытые вопросы|0005|boolean||
0005:02|Выясняет потребности клиента (рациональные\эмоц.)|0005|boolean||
0005:03|Задает уточняющие вопросы, резюмирует итоги разговора|0005|boolean||
0006:01|Пользуется инструментами презентации (презентор, образцы продукции, калькулятор и пр.)|0004|boolean||
0006:02|Показывает выгоды предложения через технику«Свойство-Выгода»|0004|boolean||
0006:03|Хорошо знает основные характеристики и ассортимент товара, легко оперирует этой информацией|0004|boolean||
0006:04|Делает тест на готовность клиента к сделке|0004|boolean||
0007:01|Применяет техники работы с возражениями: Ценовые - Франклин, Прайсбургер. Общие - В.П.У.С.К.|0007|boolean||
0007:02|Работает с другими реакциями клиента: отговорка, безразличие, скептицизм, негативные эмоции|0007|boolean||
0007:03|Сохраняет положительный настрой|0007|boolean||
0008:01|Распознает сигналы готовности к сделке|0008|boolean||
0008:02|Применяет одну из техник закрытия сделки: прямое предложение, альтернативный вопрос, встречный закрывающий вопрос.|0008|boolean||
0008:03|Подтверждает договоренности, достигнутые в ходе визита и информирует клиента о дате и времени следующего визита|0008|boolean||
0009:01|Заносит информацию в карточку клиента (информация о конечном заказе, цель на следующий визит)|0009|boolean||
0009:02|Оценивает уровень достижения цели заносит ее в  маршрутный лист|0009|boolean||
