topic_id|descr|hint|row_no
0|Шаг 1. Планирование|- Использование информации о ТТ(история продаж, специфика ТТ, контакты ЛПР).<br/>- Анализ прошлых визитов и целей.<br/>- Постановка цели на визит по S.M.A.R.T.<br/>- Подготовка к возможным возражениям (минисценарий разговора с ЛПР).|0
1|Шаг 2. Приветствие|- Представление (имя-должность-компания).<br/>- Обозначение цели и времени визита.<br/>- Обращение по имени к контактным лицам.<br/>- Создание позитивной атмосферы (Small Talk).|1
2|Шаг 3/4. Осмотр Торгового зала и склада|- Осмотр зала по 5Р, поиск возможностей развития ТТ.<br/>- Осмотр складских помещений (анализ товарного запаса и предварительный заказ).<br/>- Анализ деятельности конкурентов.<br/>- Корректировка  цели визита при необходимости|3
3|Шаг 5.1. Продажа: поддержание контакта|- Поддержание позитивного контакта.|3
4|Шаг 5.2. Продажа: работа с потребностями|- Работа с потребностями ЛПР (открытые-перефразирующие-направляющие вопросы)|4
5|Шаг 5.3. Продажа: формулировка предложения|- Презентация идеи на основании потребностей ЛПР (техника СПВ).|5
6|Шаг 5.4. Продажа: работа с возражениями|- Работа с возражениями ЛПР.|6
7|Шаг 5.5. Продажа: завершение сделки|- Завершение сделки (использование сигналов к покупке и подходящую технику закрытия).|7
8|Шаг 6. Оформление заказа|- Согласование заказа с ЛПР.<br/>- Фиксация заказа в КПК/бланк заказа.|8
9|Шаг 7. Мерчендайзинг|(<i>самостоятельно или с помощью мерчендайзера</i>)<br/>- Размещение всего товара, присутствующего в ТТ.<br/>- Размещение  товара на лучших местах, согласно рекомендованной доле полки (равной или больше доле рынка в категории).<br/>- Выкладка товара по планограмме, согласованной с ТТ.<br/>- Обеспечение актуальных ценников/акционных.<br/>- Обеспечение  проведения согласовнных промо-активностей.<br/>- Устанавка согласованных ДМП.<br/>- Размещение актуальных РОР в лучших местах.|9
10|Шаг 8. Отчет о визите|- Заполняение бланков ежед.отчета/КПК.<br/>- Анализ визита (цель достигнута/не достигнута, по каким причинам).<br/>- Постановка Цели на следующий визит в эту ТТ.|10
11|Шаг 9. Завершение визита|- Итог встречи - договоренность визита с ЛПР.<br/>- Информирование о дате и времени следующего визита.<br/>- Выражение благодарности ЛПР за встречу.|11
